(582125, 423333, 429916)
(585208, 427375, 437500)
(547667, 429917, 415292)
(645542, 463708, 475083)
(594500, 435542, 440042)
(617875, 443708, 452958)
(608958, 445000, 449167)
(629125, 455917, 465917)
(597125, 438083, 440583)
(640084, 461375, 473042)
(631375, 454708, 458292)
(664584, 476292, 494625)
(682041, 480875, 499667)
(674083, 481875, 494792)
(615250, 449959, 456125)
(594916, 441000, 440666)
(643416, 470083, 475500)
(674542, 481750, 496292)
(675250, 487750, 497125)
(645500, 471000, 476583)
(720916, 510292, 532458)
(702125, 501250, 520750)
(694167, 497708, 512333)
(705750, 505958, 519209)
(696083, 501458, 513125)
(773625, 539000, 567958)
(768833, 538167, 562500)
(780167, 545417, 575000)
(759042, 537417, 557209)
(741708, 528000, 548541)
(751834, 531875, 552833)
(776292, 544958, 569708)
(821709, 568625, 606333)
(781959, 551167, 575166)
(789500, 554083, 578958)
(779167, 549667, 579167)
(760125, 540750, 561917)
(850584, 588833, 626708)
(806334, 566625, 592292)
(782917, 556959, 576084)
(831458, 579000, 611583)
(852291, 593084, 627334)
(894458, 613333, 655625)
(843375, 590833, 622417)
(804125, 571625, 592667)
(830666, 583750, 610958)
(875458, 609375, 641916)
(874416, 609500, 642917)
(945333, 657000, 689708)
(912667, 626709, 667542)
(955042, 650334, 692708)
(893666, 624500, 655625)
(943084, 649209, 690666)
(855000, 607584, 629459)
(962458, 671083, 704291)
(1000042, 684208, 727708)
(962000, 659333, 704875)
(1032209, 699208, 755834)
(903458, 631875, 663167)
(931500, 652750, 682166)
(992791, 678291, 725667)
(938542, 654125, 684000)
(966500, 668292, 706541)
(945208, 656792, 688750)
(985292, 678209, 718000)
(981375, 677458, 718375)
(1004417, 706542, 736500)
(1025250, 703292, 750083)
(1015709, 703625, 747416)
(1107750, 747167, 811875)
(995916, 697417, 726625)
(993833, 692000, 728083)
(1072625, 734458, 783458)
(1041417, 729416, 760750)
(1115167, 766000, 804958)
(1060291, 731375, 773625)
(1116084, 758083, 807458)
(1089708, 750291, 789584)
(1055792, 732208, 763750)
(1166291, 787792, 846791)
(1131750, 773750, 848291)
(1080417, 744416, 773042)
(1101334, 758667, 796542)
(1074375, 745459, 780333)
(1149709, 787500, 843083)
(1165667, 796666, 842000)
(1121750, 771458, 806583)
(1248292, 841500, 901542)
(1205958, 825167, 869917)
(1258500, 848125, 908334)
(1208167, 823958, 868708)
(1181000, 813250, 851916)
(1201833, 826083, 868208)
(1269000, 859834, 913083)
(1263250, 856667, 913000)
(1229583, 844417, 882583)
(1290000, 877542, 926708)
(1254500, 858083, 899375)
(1271250, 865834, 911125)
(1224625, 845667, 873416)
(1254750, 868417, 898625)
(1349792, 906625, 961916)
(1245209, 858583, 884334)
(1371375, 925125, 975167)
(1368833, 929833, 973250)
(1289708, 886459, 915833)
(1352584, 919458, 962833)
(1377917, 930625, 978333)
(1424458, 960667, 1008458)
(1394292, 945083, 988666)
(1357250, 928333, 957292)
(1386291, 943042, 969125)
(1468875, 986375, 1038792)
(1469167, 985334, 1038541)
(1380708, 943916, 976958)
(1400208, 967416, 989875)
(1433666, 974417, 1014250)
(1439834, 979875, 1014792)
(1476666, 997166, 1039250)
(1530458, 1025792, 1074583)
(1561458, 1044750, 1103208)
(1609333, 1072667, 1131959)
(1549458, 1040375, 1095084)
(1624459, 1081125, 1142708)
(1553708, 1054000, 1100959)
(1479709, 1013125, 1028667)
(1594000, 1068083, 1110584)
(1596000, 1077917, 1113833)
(1596292, 1086667, 1114333)
(1571125, 1065000, 1089209)
(1547750, 1083916, 1121875)
(1538666, 1051500, 1071000)
(1559333, 1066917, 1079791)
(1633542, 1100125, 1202958)
(1634708, 1102125, 1129750)
(1627166, 1104208, 1146375)
(1611917, 1098375, 1148875)
(1608542, 1122416, 1104209)
(1598583, 1099541, 1108125)
(1705250, 1158459, 1218000)
(1704792, 1158500, 1174416)
(1708916, 1160333, 1185417)
(1699375, 1155459, 1190750)
(1738375, 1180417, 1192792)
(1836667, 1232625, 1279083)
(1920792, 1261250, 1304708)
(1749167, 1187791, 1213916)
(1812875, 1231375, 1233625)
(1793208, 1215917, 1239167)
(1769583, 1194084, 1208125)
(1791709, 1217875, 1223292)
(1890583, 1270208, 1300084)
(1823000, 1233834, 1241750)
(1955083, 1294209, 1332000)
(1933459, 1292459, 1317458)
(1903625, 1290334, 1299667)
(1864750, 1264291, 1269500)
(1939541, 1296833, 1316916)
(1854875, 1262209, 1257334)
(1856584, 1273042, 1270500)
(1879667, 1283666, 1268750)
(2074125, 1372375, 1406208)
(1984291, 1335458, 1347625)
(1869083, 1282708, 1278209)
(2044709, 1374042, 1367709)
(1985083, 1333333, 1336917)
(1997333, 1357792, 1342834)
(2107750, 1416667, 1431500)
(2125750, 1424750, 1435125)
(2105709, 1408459, 1423291)
(2036250, 1380083, 1368042)
(2078583, 1405167, 1402667)
(2237500, 1491417, 1503208)
(2213875, 1467959, 1502292)
(2088500, 1425750, 1394041)
(2192167, 1484209, 1469834)
(2107167, 1433750, 1404458)
(2143417, 1431958, 1430792)
(2149542, 1463083, 1447750)
(2238125, 1505042, 1508959)
(2211459, 1492666, 1475250)
(2138416, 1436375, 1428417)
(2134875, 1462083, 1418000)
(2263958, 1535417, 1509542)
(2192084, 1488084, 1461625)
(2268000, 1517125, 1508500)
(2140542, 1468084, 1421667)
(2356167, 1590208, 1593916)
(2287084, 1532167, 1507125)
(2473041, 1623583, 1648584)
(2206917, 1512333, 1461916)
(2393000, 1608416, 1593042)
(2259750, 1547084, 1499666)
(2416875, 1616708, 1590375)
(2327708, 1580833, 1540250)
(2266500, 1561709, 1507083)
(2448292, 1651417, 1615375)
(2384125, 1601667, 1571417)
(2557958, 1707708, 1688416)
(2421792, 1651583, 1597000)
(2384833, 1635250, 1573042)
(2321750, 1565708, 1529875)
(2451583, 1663375, 1632167)
(2684000, 1795875, 1778708)
(2512667, 1707166, 1658917)
(2439958, 1648708, 1586834)
(2467542, 1685833, 1624291)
(2464209, 1691292, 1622625)
(2670208, 1792791, 1735000)
(2579500, 1731416, 1680583)
(2493375, 1698541, 1637459)
(2502792, 1711750, 1635375)
(2681417, 1808666, 1750833)
(2717250, 1805791, 1767458)
(2580500, 1748834, 1682750)
(2510792, 1733417, 1642500)
(2677459, 1809250, 1767000)
(2831625, 1879083, 1839000)
(2686750, 1825291, 1741792)
(2655666, 1819167, 1735208)
(2740375, 1906500, 1785916)
(2727292, 1837541, 1764583)
(2834166, 1904417, 1851709)
(2742000, 1867542, 1788458)
(2765542, 1874750, 1780750)
(2852750, 1906542, 1838875)
(2818208, 1912292, 1813000)
(2895416, 1959208, 1912875)
(2943833, 1971958, 1902416)
(2916500, 1960959, 1881083)
(2910417, 1967250, 1880500)
(2879833, 1959500, 1883083)
(2996375, 2029208, 1938417)
(3037209, 2011125, 1954750)
(2731791, 1890500, 1750042)
(2932666, 2003542, 1901792)
(2999833, 2013750, 1926208)
(2972833, 1989917, 1897834)
(2982083, 2013875, 1906292)
(3234917, 2163417, 2088500)
(3145833, 2110417, 2016167)
(3065333, 2048250, 1958458)
(2960291, 2032583, 1887875)
(3042167, 2074041, 1964375)
(2986000, 2028417, 1899291)
(3134500, 2097375, 2003917)
(3123750, 2113833, 1993084)
(3172583, 2149208, 2048542)
(2928541, 2019292, 1873583)
(3268667, 2201000, 2090667)
(3218000, 2175417, 2060375)
(3216209, 2186541, 2059333)
(3207958, 2173959, 2039958)
(3335750, 2217958, 2120458)
(3339875, 2251666, 2114250)
(3328333, 2257333, 2131917)
(3193000, 2181791, 2015375)
(3367708, 2238666, 2132792)
(3399125, 2277709, 2153625)
(3167875, 2187375, 2008709)
(3164042, 2169917, 2001459)
(3440291, 2289125, 2173333)
(3408333, 2310625, 2160417)
(3387042, 2301000, 2175875)
(3492667, 2348375, 2209292)
(3425792, 2290250, 2168125)
(3606333, 2416000, 2285583)
(3479333, 2365583, 2231166)
(3385167, 2302042, 2134833)
(3429583, 2304166, 2153959)
(3630333, 2453958, 2274375)
(3382125, 2333000, 2137917)
(3633042, 2455250, 2276208)
(3640333, 2425375, 2276125)
(3433791, 2355500, 2145375)
(3417958, 2355292, 2162542)
(3469375, 2378375, 2162834)
(3660541, 2443042, 2291333)
(3676000, 2518167, 2293416)
(3673209, 2508916, 2334791)
(3720666, 2516583, 2334000)
(3783792, 2511250, 2381916)
(3696750, 2503958, 2308708)
(3795375, 2580875, 2384459)
(3619833, 2455125, 2245875)
(3734458, 2508458, 2343084)
(3743250, 2542167, 2339042)
(3845583, 2630500, 2417625)
(3743875, 2552750, 2322250)
(3900458, 2631625, 2463750)
(3904042, 2634083, 2429792)
(3658584, 2524625, 2288542)
(3888916, 2634917, 2407875)
(3952333, 2639375, 2442834)
(3902083, 2652667, 2419125)
(4016458, 2736667, 2523583)
(3583791, 2489000, 2236625)
(4077250, 2715792, 2546834)
(4083000, 2831208, 2480167)
(4001916, 2712208, 2474125)
(3984834, 2699000, 2477750)
(3931875, 2681708, 2461167)
(3831583, 2626125, 2384959)
(4067875, 2749833, 2506500)
(4018584, 2730375, 2479833)
(4269667, 2869750, 2632583)
(4165041, 2817708, 2569208)
(4183167, 2823875, 2585750)
(4362708, 2928750, 2689584)
(4221083, 2844416, 2614167)
(4066541, 2759625, 2518917)
(4243083, 2857000, 2642292)
(4098666, 2800875, 2535875)
(4312792, 2911833, 2660958)
(4337917, 2937333, 2680333)
(4175541, 2884542, 2599625)
(4320792, 2927834, 2668584)
(4410500, 2969833, 2703167)
(4366834, 2958292, 2702000)
(4308875, 2930500, 2638791)
(4395041, 2950542, 2672334)
(4281583, 2915875, 2614125)
(4427709, 2999208, 2722917)
(4470083, 3016583, 2746500)
(4413875, 2993333, 2724666)
(4695375, 3159208, 2863750)
(4475833, 3034041, 2731500)
(4542791, 3079958, 2782375)
(4646083, 3106125, 2824875)
(4633959, 3188334, 2857750)
(4295833, 2942042, 2628417)
(4466208, 3035167, 2728084)
(4493875, 3053958, 2749042)
(4857166, 3248959, 3067250)
(4699917, 3178792, 2848500)
(4691792, 3184333, 2865458)
(4604250, 3129417, 2798208)
(4308292, 2949333, 2582125)
(4859833, 3344000, 2955709)
(4697666, 3205083, 2841458)
(4773125, 3214833, 2909875)
(4812333, 3260875, 2924458)
(4866500, 3289375, 2959083)
(4642041, 3162500, 2781459)
(4678584, 3188334, 2842250)
(4908167, 3321959, 2986375)
(4537500, 3102875, 2772708)
(5062125, 3478958, 3084958)
(5102084, 3431792, 3127375)
(5225666, 3498250, 3198417)
(4989125, 3367666, 3014542)
(5106542, 3437625, 3096208)
(4959167, 3354750, 2976667)
